vehicle_id,timestamp,dtc_code,severity,description
553SK,2024-02-13 06:12:30,C134112,medium,Steering angle sensor failure
767 WMS,2024-02-10 08:40:31,C190004,high,High-pressure warning
YRL 956,2024-04-27 09:56:10,C134113,low,Brake sensor malfunction
LSL 735,2024-05-28 21:42:09,C134131,low,Electronic stability control failure
223 NDS,2024-07-19 03:01:52,C134113,medium,Brake sensor malfunction
PZX8426,2024-07-03 22:34:27,C134112,high,Steering angle sensor failure
767 DPZ,2024-04-11 17:10:42,C134131,medium,Electronic stability control failure
1N 49640,2024-07-03 04:35:24,C190004,high,High-pressure warning
1TL 209,2024-04-23 00:14:05,C190004,medium,High-pressure warning
U53-CAK,2024-06-22 08:32:40,C134138,high,Tire pressure warning
66BW7,2024-07-30 10:37:52,C134112,high,Steering angle sensor failure
6FN P49,2024-01-29 12:33:59,C134113,high,Brake sensor malfunction
LVH 954,2024-04-30 02:35:56,C134112,medium,Steering angle sensor failure
86-85572,2024-01-05 05:54:04,C134138,medium,Tire pressure warning
EWT 458,2024-08-01 18:14:22,C134113,high,Brake sensor malfunction
ZFY 3195,2024-07-24 04:12:57,C134131,low,Electronic stability control failure
ITP-1825,2024-09-16 15:27:07,C134112,medium,Steering angle sensor failure
W66 9MI,2024-06-03 19:54:52,C134112,medium,Steering angle sensor failure
713YQZ,2024-08-17 19:19:34,C134113,medium,Brake sensor malfunction
FVA-3845,2024-06-12 03:43:33,C134138,low,Tire pressure warning
736 XN8,2024-05-12 22:58:45,C134112,high,Steering angle sensor failure
VFM-067,2024-07-28 22:24:24,C134131,low,Electronic stability control failure
PTA-5511,2024-01-29 16:13:13,C134138,low,Tire pressure warning
717 CBQ,2024-06-04 13:06:29,C134113,low,Brake sensor malfunction
5X 88644,2024-08-18 14:29:03,C134113,low,Brake sensor malfunction
0-23388,2024-06-07 18:14:54,C134138,medium,Tire pressure warning
312YHP,2024-08-11 19:28:58,C134113,low,Brake sensor malfunction
HFI 949,2024-06-06 01:17:01,C134138,medium,Tire pressure warning
83-C303,2024-01-10 01:41:03,C134131,medium,Electronic stability control failure
3E 94671,2024-10-01 04:35:36,C134113,low,Brake sensor malfunction
QYQ 585,2024-04-13 09:58:40,C190004,high,High-pressure warning
